"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 06- 02","201.71","206.71","207.79","199.71","69.91M","-3.01%"
"2021- 06- 01","207.97","209.27","211.27","206.85","54.25M","-0.21%"
"2021- 05- 28","208.41","209.50","211.86","207.46","68.21M","-0.89%"
"2021- 05- 27","210.28","206.75","210.38","205.40","79.11M","1.89%"
"2021- 05- 26","206.38","202.52","208.72","200.50","85.92M","2.39%"
"2021- 05- 25","201.56","202.44","204.66","198.57","84.02M","-0.29%"
"2021- 05- 24","202.15","193.87","204.83","191.22","103.67M","4.40%"
"2021- 05- 21","193.63","198.70","198.89","193.33","78.09M","-1.00%"
"2021- 05- 20","195.59","191.67","196.28","190.36","92.46M","4.14%"
"2021- 05- 19","187.82","184.18","188.74","182.33","118.74M","-2.49%"
"2021- 05- 18","192.62","189.33","198.75","187.79","110.49M","0.18%"
"2021- 05- 17","192.28","191.85","196.58","187.07","97.17M","-2.19%"
"2021- 05- 14","196.58","194.47","197.62","190.15","100.11M","3.16%"
"2021- 05- 13","190.56","200.51","202.15","186.55","132.55M","-3.09%"
"2021- 05- 12","196.63","200.83","206.80","195.59","101.47M","-4.42%"
"2021- 05- 11","205.73","199.75","209.03","198.53","139.51M","-1.88%"
"2021- 05- 10","209.68","221.63","221.68","209.20","94.18M","-6.44%"
"2021- 05- 07","224.12","221.93","230.00","220.07","70.41M","1.33%"
"2021- 05- 06","221.18","226.92","227.01","216.67","83.35M","-1.10%"
"2021- 05- 05","223.65","227.02","228.43","222.45","65.71M","-0.39%"
"2021- 05- 04","224.53","226.31","227.82","219.23","89.22M","-1.65%"
"2021- 05- 03","228.30","234.60","235.33","226.83","81.13M","-3.46%"
"2021- 04- 30","236.48","222.53","238.49","222.05","122.28M","4.79%"
"2021- 04- 29","225.67","233.17","234.08","222.83","86.54M","-2.51%"
"2021- 04- 28","231.47","232.14","236.17","231.20","66.81M","-1.46%"
"2021- 04- 27","234.91","239.32","241.33","234.45","88.31M","-4.54%"
"2021- 04- 26","246.07","247.00","249.77","244.20","93.12M","1.21%"
"2021- 04- 23","243.13","239.93","245.79","238.49","85.24M","1.35%"
"2021- 04- 22","239.90","247.17","251.26","239.35","106.77M","-3.28%"
"2021- 04- 21","248.04","234.92","248.28","232.67","93.65M","3.50%"
"2021- 04- 20","239.66","239.14","245.75","236.89","106.83M","0.61%"
"2021- 04- 19","238.21","239.87","241.80","230.60","119.06M","-3.40%"
"2021- 04- 16","246.59","242.88","249.80","241.53","83.94M","0.13%"
"2021- 04- 15","246.28","247.70","247.90","240.44","83.55M","0.90%"
"2021- 04- 14","244.08","256.90","260.26","242.68","147.05M","-3.95%"
"2021- 04- 13","254.11","237.57","254.33","236.89","133.96M","8.60%"
"2021- 04- 12","233.99","228.57","234.93","227.36","87.41M","3.69%"
"2021- 04- 09","225.67","225.92","226.99","223.14","64.31M","-0.99%"
"2021- 04- 08","227.93","225.79","229.85","223.88","71.77M","1.91%"
"2021- 04- 07","223.66","229.00","230.46","222.61","78.93M","-2.98%"
"2021- 04- 06","230.54","230.10","232.18","227.12","84.82M","0.08%"
"2021- 04- 05","230.35","235.90","236.05","228.23","125.53M","4.43%"
"2021- 04- 01","220.58","229.46","230.81","219.81","105.90M","-0.93%"
"2021- 03- 31","222.64","215.54","224.00","213.70","100.01M","5.08%"
"2021- 03- 30","211.87","200.58","212.55","197.00","118.30M","3.98%"
"2021- 03- 29","203.76","205.21","205.49","198.67","85.91M","-1.20%"
"2021- 03- 26","206.24","213.96","214.61","199.96","101.56M","-3.38%"
"2021- 03- 25","213.46","204.33","215.17","203.17","117.67M","1.60%"
"2021- 03- 24","210.09","222.64","222.67","210.04","101.39M","-4.82%"
"2021- 03- 23","220.72","225.26","225.93","219.17","91.48M","-1.17%"
"2021- 03- 22","223.33","228.20","233.21","222.92","118.54M","2.31%"
"2021- 03- 19","218.29","215.53","219.08","208.21","128.68M","0.26%"
"2021- 03- 18","217.72","228.10","229.74","217.33","100.11M","-6.93%"
"2021- 03- 17","233.94","218.96","234.58","217.00","121.12M","3.68%"
"2021- 03- 16","225.63","234.45","235.97","223.67","96.59M","-4.39%"
"2021- 03- 15","235.98","231.36","237.73","228.01","88.27M","2.05%"
"2021- 03- 12","231.24","223.33","231.63","222.05","100.75M","-0.84%"
"2021- 03- 11","233.20","233.13","234.17","225.73","108.76M","4.72%"
"2021- 03- 10","222.69","233.43","239.28","218.35","181.82M","-0.82%"
"2021- 03- 09","224.53","202.73","226.03","198.40","202.57M","19.64%"
"2021- 03- 08","187.67","200.18","206.71","186.26","155.36M","-5.84%"
"2021- 03- 05","199.32","208.69","209.28","179.83","268.19M","-3.78%"
"2021- 03- 04","207.15","218.60","222.82","200.00","197.76M","-4.86%"
"2021- 03- 03","217.73","229.33","233.57","217.23","90.62M","-4.84%"
"2021- 03- 02","228.81","239.43","240.37","228.33","71.20M","-4.46%"
"2021- 03- 01","239.48","230.04","239.67","228.35","81.41M","6.36%"
"2021- 02- 26","225.17","233.33","235.57","219.84","123.27M","-0.99%"
"2021- 02- 25","227.41","242.05","245.74","223.53","117.07M","-8.06%"
"2021- 02- 24","247.34","237.28","248.33","231.39","110.30M","6.18%"
"2021- 02- 23","232.95","220.71","237.87","206.33","199.82M","-2.19%"
"2021- 02- 22","238.17","254.21","256.17","236.73","111.81M","-8.55%"
"2021- 02- 19","260.43","265.00","265.60","259.12","56.87M","-0.77%"
"2021- 02- 18","262.46","260.30","264.90","258.76","53.87M","-1.35%"
"2021- 02- 17","266.05","259.70","266.61","254.00","78.24M","0.24%"
"2021- 02- 16","265.41","272.67","273.67","264.15","59.41M","-2.44%"
"2021- 02- 12","272.04","267.09","272.44","261.78","71.31M","0.55%"
"2021- 02- 11","270.55","270.81","276.63","267.24","64.87M","0.85%"
"2021- 02- 10","268.27","281.21","281.61","266.67","108.65M","-5.26%"
"2021- 02- 09","283.15","285.04","286.60","280.58","45.47M","-1.62%"
"2021- 02- 08","287.81","289.89","292.59","284.92","60.49M","1.31%"
"2021- 02- 05","284.08","281.67","288.26","279.66","55.70M","0.26%"
"2021- 02- 04","283.33","285.00","285.50","277.81","47.44M","-0.55%"
"2021- 02- 03","284.90","292.34","292.69","284.35","55.03M","-2.07%"
"2021- 02- 02","290.93","281.56","293.50","280.73","73.04M","3.93%"
"2021- 02- 01","279.94","271.43","280.67","265.19","76.17M","5.83%"
"2021- 01- 29","264.51","276.67","280.80","260.03","104.97M","-5.02%"
"2021- 01- 28","278.48","273.33","282.67","267.00","79.13M","-3.32%"
"2021- 01- 27","288.05","290.12","297.17","286.22","82.00M","-2.14%"
"2021- 01- 26","294.36","297.13","298.63","290.53","69.39M","0.26%"
"2021- 01- 25","293.60","285.00","300.13","279.61","123.52M","4.04%"
"2021- 01- 22","282.21","278.10","282.67","276.21","60.20M","0.20%"
"2021- 01- 21","281.66","285.00","285.24","280.47","61.79M","-0.64%"
"2021- 01- 20","283.48","286.25","286.50","279.09","77.00M","0.70%"
"2021- 01- 19","281.52","279.27","283.33","277.67","76.10M","2.23%"
"2021- 01- 15","275.39","284.00","286.63","273.03","116.33M","-2.23%"
"2021- 01- 14","281.67","281.13","287.67","279.58","93.80M","-1.10%"
"2021- 01- 13","284.80","284.25","286.82","277.33","99.94M","0.58%"
"2021- 01- 12","283.15","277.00","289.33","275.78","138.81M","4.72%"
"2021- 01- 11","270.40","283.13","284.81","267.87","178.66M","-7.82%"
"2021- 01- 08","293.34","285.33","294.83","279.46","225.17M","7.84%"
"2021- 01- 07","272.01","259.21","272.33","258.40","154.50M","7.94%"
"2021- 01- 06","251.99","252.83","258.00","249.70","134.10M","2.84%"
"2021- 01- 05","245.04","241.22","246.95","239.73","96.74M","0.73%"
"2021- 01- 04","243.26","239.82","248.16","239.06","145.91M","3.42%"
